INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 13.250, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
INFO:root:Time: 00d 00h 00m 00s, Avg Reward: 51.142, Avg Accuracy: 1.000, Best Reward: 0.000
